[HEADER]
VERSION	1	0
BPM_DEF	113.350
MET_DEF	4	4
RESOLUTION	384

[COMPOSITION]
TUT	1	0	12
TUT	2	288	0
TUT	3	0	25
TUT	4	288	0
TUT	5	0	26
TUT	7	192	0
TUT	8	0	27
TUT	8	96	0
TUT	8	96	28
TUT	8	192	0
TUT	8	192	29
TUT	8	288	0
TUT	8	288	30
TUT	8	384	0
TUT	9	0	6
TUT	10	288	0
TUT	11	0	7
TUT	12	0	0
TUT	12	0	31
TUT	12	288	0
TUT	13	0	8
TUT	14	288	0
TUT	15	0	9
TUT	16	288	0
TUT	17	0	10
TUT	18	288	0
TUT	19	0	11
TUT	20	192	0
TUT	20	288	12
TUT	21	192	0
TUT	21	288	13
TUT	22	192	0
TUT	22	288	14
TUT	24	192	0
TUT	24	288	15
TUT	25	192	0
TUT	25	288	16
TUT	26	192	0
TUT	26	288	17
TUT	28	192	0
TUT	29	0	18
TUT	30	288	0
TUT	31	0	19
TUT	32	0	0
TUT	32	0	20
TUT	32	288	0
TUT	33	0	21
TUT	34	288	0
TUT	35	0	22
TUT	36	288	0
TUT	37	0	23
TUT	38	288	0
TUT	39	0	24
TUT	40	192	0
TUT	40	288	12
TUT	41	192	0
TUT	41	288	13
TUT	42	192	0
TUT	42	288	14
TUT	44	192	0
TUT	44	288	15
TUT	45	192	0
TUT	45	288	16
TUT	46	192	0
TUT	46	288	17
TUT	48	192	0

[LAYER]

[COLLECTION]
BRK	1	96	1
BRK	1	288	1
BRK	2	96	1
BRK	2	288	1
BRK	3	96	1
BRK	3	288	1
BRK	4	96	1
BRK	4	288	1
BRK	5	96	1
BRK	5	288	1
BRK	6	96	1
BRK	6	288	1
BRK	7	96	1
BRK	7	288	1
BRK	8	96	1
BRK	8	288	1
BRK	9	0	0
BRK	9	96	0
BRK	9	192	0
BRK	9	288	0
BRK	10	0	1
BRK	10	96	0
BRK	10	192	0
BRK	10	288	0
BRK	11	0	1
BRK	11	96	0
BRK	11	192	0
BRK	11	288	0
BRK	12	0	1
BRK	12	96	0
BRK	12	192	0
BRK	12	288	1
BRK	13	0	0
BRK	13	96	0
BRK	13	192	0
BRK	13	288	1
BRK	14	0	0
BRK	14	96	0
BRK	14	192	0
BRK	14	288	1
BRK	15	0	0
BRK	15	96	0
BRK	15	192	0
BRK	15	288	1
BRK	16	0	0
BRK	16	96	0
BRK	16	192	0
BRK	16	288	1
BRK	17	0	0
BRK	17	192	0
BRK	18	0	0
BRK	18	192	0
BRK	19	0	0
BRK	19	192	0
BRK	20	0	0
BRK	20	288	0
BRK	20	312	0
BRK	20	336	0
BRK	21	0	1
BRK	21	72	0
BRK	21	144	1
BRK	21	288	0
BRK	21	312	0
BRK	21	336	0
BRK	22	0	1
BRK	22	72	0
BRK	22	144	0
BRK	22	288	0
BRK	22	312	0
BRK	22	336	0
BRK	23	0	1
BRK	23	96	0
BRK	23	144	0
BRK	23	240	0
BRK	23	336	0
BRK	24	192	0
BRK	24	288	0
BRK	24	312	0
BRK	24	336	0
BRK	25	0	1
BRK	25	72	0
BRK	25	144	1
BRK	25	288	0
BRK	25	312	0
BRK	25	336	0
BRK	26	0	1
BRK	26	96	0
BRK	26	144	0
BRK	26	288	0
BRK	26	312	0
BRK	26	336	0
BRK	27	0	1
BRK	27	96	0
BRK	27	144	0
BRK	27	240	0
BRK	27	336	0
BRK	28	192	0
BRK	29	0	0
BRK	29	96	0
BRK	29	192	0
BRK	29	288	0
BRK	30	0	1
BRK	30	96	0
BRK	30	192	0
BRK	30	288	0
BRK	31	0	1
BRK	31	96	0
BRK	31	192	0
BRK	31	288	0
BRK	32	0	1
BRK	32	96	0
BRK	32	192	0
BRK	32	288	1
BRK	33	0	0
BRK	33	96	0
BRK	33	192	0
BRK	33	288	1
BRK	34	0	0
BRK	34	96	0
BRK	34	192	0
BRK	34	288	1
BRK	35	0	0
BRK	35	96	0
BRK	35	192	0
BRK	35	288	1
BRK	36	0	0
BRK	36	96	0
BRK	36	192	0
BRK	36	288	1
BRK	37	0	0
BRK	37	192	0
BRK	38	0	0
BRK	38	192	0
BRK	39	0	0
BRK	39	192	0
BRK	40	0	0
BRK	40	288	0
BRK	40	312	0
BRK	40	336	0
BRK	41	0	1
BRK	41	72	0
BRK	41	144	1
BRK	41	288	0
BRK	41	312	0
BRK	41	336	0
BRK	42	0	1
BRK	42	72	0
BRK	42	144	0
BRK	42	288	0
BRK	42	312	0
BRK	42	336	0
BRK	43	0	1
BRK	43	96	0
BRK	43	144	0
BRK	43	240	0
BRK	43	336	0
BRK	44	192	0
BRK	44	288	0
BRK	44	312	0
BRK	44	336	0
BRK	45	0	1
BRK	45	72	0
BRK	45	144	1
BRK	45	288	0
BRK	45	312	0
BRK	45	336	0
BRK	46	0	1
BRK	46	96	0
BRK	46	144	0
BRK	46	288	0
BRK	46	312	0
BRK	46	336	0
BRK	47	0	1
BRK	47	96	0
BRK	47	144	0
BRK	47	240	0
BRK	47	336	0
BRK	48	192	0
BRK	49	0	0

[OBSTACLE]
JMP	5	96	0
JMP	5	288	0
JMP	6	96	0
JMP	6	288	0
JMP	7	96	0
JMP	7	288	0
JMP	8	96	0
JMP	8	288	0
SLD	9	96	1
SLD	9	192	1
SLD	10	96	1
SLD	10	192	1
SLD	11	96	1
SLD	11	192	1
SLD	12	96	1
SLD	12	192	1
SLD	13	96	1
SLD	13	192	1
JMP	13	288	0
SLD	14	96	1
SLD	14	192	1
JMP	14	288	0
SLD	15	96	1
SLD	15	192	1
JMP	15	288	0
SLD	16	96	1
SLD	16	192	1
JMP	16	288	0
KIK	17	96	0
KIK	17	288	0
KIK	18	96	0
KIK	18	288	0
KIK	19	96	0
KIK	19	288	0
JMP	20	96	0
KIK	20	192	0
JMP	21	0	0
JMP	21	144	0
JMP	22	0	0
SLD	22	72	1
SLD	22	144	1
JMP	23	0	0
SLD	23	96	1
SLD	23	144	1
SLD	23	240	1
KIK	24	0	1
KIK	24	96	1
JMP	25	0	0
JMP	25	144	0
JMP	26	0	0
SLD	26	96	1
SLD	26	144	1
JMP	27	0	0
SLD	27	96	1
SLD	27	144	1
SLD	27	240	1
KIK	28	0	1
KIK	28	96	1
JMP	28	288	0
SLD	29	96	1
SLD	29	192	1
SLD	30	96	1
SLD	30	192	1
SLD	31	96	1
SLD	31	192	1
SLD	32	96	1
SLD	32	192	1
SLD	33	96	1
SLD	33	192	1
JMP	33	288	0
SLD	34	96	1
SLD	34	192	1
JMP	34	288	0
SLD	35	96	1
SLD	35	192	1
JMP	35	288	0
SLD	36	96	1
SLD	36	192	1
JMP	36	288	0
KIK	37	96	0
KIK	37	288	0
KIK	38	96	0
KIK	38	288	0
KIK	39	96	0
KIK	39	288	0
JMP	40	96	0
KIK	40	192	0
JMP	41	0	0
JMP	41	144	0
JMP	42	0	0
SLD	42	72	1
SLD	42	144	1
JMP	43	0	0
SLD	43	96	1
SLD	43	144	1
SLD	43	240	1
KIK	44	0	1
KIK	44	96	1
JMP	45	0	0
JMP	45	144	0
JMP	46	0	0
SLD	46	96	1
SLD	46	144	1
JMP	47	0	0
SLD	47	96	1
SLD	47	144	1
SLD	47	240	1
KIK	48	0	1
KIK	48	96	1
JMP	48	288	0
